generation,best_fitness,best_individual,std,mean
1,5.009744835427599,1, 5.642404930534985, 9.698856377307258
2,5.009744835427599,1, 10.196912432559243, 11.11996951928396
3,5.000011094665887,1, 4.542538734407512, 7.542695362642328
4,5.000011094665887,1, 8.963806578762291, 8.999457820129399
5,5.000011094665887,1, 5.834099575577019, 8.604701112770815
6,5.0000110161892755,1, 12.191800842431538, 9.2234414545203
7,5.000000000392397,1, 15.186464546980124, 14.175773317431146
8,5.000000000243183,1, 3.3827242934726898, 5.8592253296876144
9,5.000000000243183,1, 4.885684464166133, 6.485790662091226
10,5.000000000243183,1, 14.733933656804448, 11.452544487361752
